%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1711478707358651483,1086,1711478707358458280,world,-1.3012614437670114,1.5588384138777571,0.8508779459174989,0.0,0.0,-0.784918790020861,0.6195986548340688
1711478707378748633,1087,1711478707378467559,world,-1.3038427942739421,1.5450936113337215,0.851982461339101,0.0,0.0,-0.7852959239351948,0.6191205955633916
1711478707398934517,1088,1711478707398639440,world,-1.306313169883727,1.5312603645463563,0.853091358344638,0.0,0.0,-0.7856572259211313,0.6186620429264369
1711478707420044943,1089,1711478707418715715,world,-1.3075037026136944,1.5243251514742129,0.8536465659798889,0.0,0.0,-0.7858310783071095,0.6184411987947483
1711478707439145380,1090,1711478707438608407,world,-1.3108896359226712,1.5034824718626614,0.8553136196203239,0.0,0.0,-0.7863224312378885,0.6178163433676194
1711478707458753342,1091,1711478707458513498,world,-1.3130071291318686,1.4894526534778314,0.8564356258962282,0.0,0.0,-0.7866253228806339,0.6174306450144328
1711478707478698058,1092,1711478707478470325,world,-1.3149931908843877,1.4754359846598257,0.8575575340419603,0.0,0.0,-0.7869041247792685,0.617075277746057
1711478707498779076,1093,1711478707498455762,world,-1.3168640527823583,1.461310776517045,0.8586899966260115,0.0,0.0,-0.7871597899003785,0.6167491103876778
1711478707518822096,1094,1711478707518478870,world,-1.3186050878257878,1.4471769879219716,0.8598259122219737,0.0,0.0,-0.7873889758943488,0.6164564872235904
1711478707538682924,1095,1711478707538488149,world,-1.3202229533371055,1.4329730190520693,0.8609711365452051,0.0,0.0,-0.7875913038352856,0.6161979699114846
1711478707558707341,1096,1711478707558466672,world,-1.321711749063936,1.4187392474523872,0.8621233251532563,0.0,0.0,-0.7877657805747647,0.6159748979913319
1711478707578860111,1097,1711478707578470945,world,-1.3230745117945855,1.4044331791085396,0.8632868350649612,0.0,0.0,-0.787913305109315,0.6157861833718872
1711478707598722762,1098,1711478707598459243,world,-1.324308266201093,1.390065805951234,0.8644617143044264,0.0,0.0,-0.7880340541609323,0.6156316508129555
1711478707618798733,1099,1711478707618512630,world,-1.3254064601627653,1.3757026021443102,0.8656435036459124,0.0,0.0,-0.7881279657077414,0.6155114212339015
1711478707638750271,1100,1711478707638486385,world,-1.3263762335800908,1.361227672408943,0.8668426792909619,0.0,0.0,-0.7881961266133436,0.6154241350416167
1711478707658711264,1101,1711478707658464193,world,-1.3272064344797518,1.3467872691034208,0.868048029796484,0.0,0.0,-0.7882382390148759,0.615370196349098
1711478707680052723,1102,1711478707678682565,world,-1.3275728201317372,1.3395113316366845,0.8686589321022309,0.0,0.0,-0.7882498450843464,0.6153553296466229
1711478707700895749,1103,1711478707700182199,world,-1.3284639238656748,1.3176985872155205,0.8705044391920311,0.0,0.0,-0.7882468843826834,0.6153591221888179
1711478707718901710,1104,1711478707718538999,world,-1.3288867726245746,1.3031363916318306,0.8717479411493505,0.0,0.0,-0.7882140716006661,0.6154011515513275
1711478707738779141,1105,1711478707738518238,world,-1.329172509650844,1.2885890243308529,0.8729990498398107,0.0,0.0,-0.788157253617533,0.6154739178633549
1711478707758827766,1106,1711478707758484125,world,-1.3293228100844643,1.2739531003673248,0.8742664943510393,0.0,0.0,-0.7880763536522636,0.6155775018745832
1711478707778703523,1107,1711478707778497457,world,-1.3293358839679759,1.2592465687042842,0.8755486359784389,0.0,0.0,-0.7879715830838194,0.6157116080214661
1711478707798734886,1108,1711478707798534631,world,-1.3292110850617478,1.244526727093158,0.8768403299986376,0.0,0.0,-0.7878439404049685,0.6158749268862732
1711478707819397264,1109,1711478707818674802,world,-1.3290964772133824,1.2371305125448746,0.877492462175786,0.0,0.0,-0.7877716513317948,0.6159673898494765
1711478707839386450,1110,1711478707838730096,world,-1.328549216748241,1.2150710380035838,0.8794494651924624,0.0,0.0,-0.7875259189407083,0.6162815322533954
1711478707858789345,1111,1711478707858523607,world,-1.3280135789572691,1.2003552249400813,0.880764706706739,0.0,0.0,-0.7873387511535624,0.616520633013972
1711478707878760123,1112,1711478707878509283,world,-1.3273369453122914,1.185541222163596,0.8820963493274596,0.0,0.0,-0.7871332716777967,0.6167829542211815
1711478707898809705,1113,1711478707898544549,world,-1.3265242205894552,1.1707516900007089,0.8834332227116781,0.0,0.0,-0.7869125141916723,0.6170645792852973
1711478707918664441,1114,1711478707918458938,world,-1.3255680267699534,1.155865550547317,0.884786126524534,0.0,0.0,-0.7866760178810323,0.6173660525902294
1711478707938711681,1115,1711478707938483715,world,-1.3250402920177815,1.148453310334231,0.8854624459236748,0.0,0.0,-0.7865533617742055,0.6175223146427146
1711478707959420170,1116,1711478707958664178,world,-1.323878460223249,1.1335861624570887,0.8868242070489253,0.0,0.0,-0.7862984268208931,0.6178468936386979
1711478707979607217,1117,1711478707978950738,world,-1.3218711553525624,1.1112206209742252,0.8888855760569866,0.0,0.0,-0.7858951861875345,0.6183597305187819
1711478707999288343,1118,1711478707998919486,world,-1.3203624857078797,1.0963347008856732,0.8902658148689692,0.0,0.0,-0.7856157390698286,0.6187147246718531
1711478708018840621,1119,1711478708018502235,world,-1.3187180330886128,1.0814675516508414,0.8916506785159232,0.0,0.0,-0.785329464749303,0.6190780498423226
1711478708038696704,1120,1711478708038476705,world,-1.3169272077113778,1.0665292919734048,0.8930482927224622,0.0,0.0,-0.7850360353930066,0.6194500973722017
1711478708058687378,1121,1711478708058472156,world,-1.3149988807433317,1.0515958427170589,0.8944506231004993,0.0,0.0,-0.7847385549574443,0.619826911615898
1711478708078779154,1122,1711478708078487873,world,-1.3129302770071214,1.03664035029494,0.8958589376379571,0.0,0.0,-0.784438223724357,0.6202069599417405
1711478708098849352,1123,1711478708098479986,world,-1.3107168124274626,1.0216307667082547,0.8972750170085559,0.0,0.0,-0.7841361321926976,0.6205888543874086
1711478708118683286,1124,1711478708118464708,world,-1.3083809205744463,1.0067101781903318,0.89868410013673,0.0,0.0,-0.7838368996364823,0.6209667581829701
1711478708138696695,1125,1711478708138478755,world,-1.3058962541493946,0.9917046879446622,0.900101353082235,0.0,0.0,-0.7835387854035611,0.621342877780306
1711478708158698855,1126,1711478708158470630,world,-1.3032843995296033,0.9767432808405332,0.9015133451562216,0.0,0.0,-0.7832461058878265,0.6217117801775639
1711478708179044060,1127,1711478708178738355,world,-1.3005343437339545,0.9617571055547489,0.9029253274658487,0.0,0.0,-0.7829592526945559,0.6220729930000036
1711478708199133514,1128,1711478708198588132,world,-1.2976480542541506,0.9467559154346186,0.9043351222005518,0.0,0.0,-0.7826801905070047,0.6224240671663644
1711478708218932432,1129,1711478708218490362,world,-1.2946199678650292,0.9317113216510521,0.9057441197328018,0.0,0.0,-0.7824102055743366,0.6227634143180893
1711478708238687044,1130,1711478708238490343,world,-1.2914769988063632,0.9167511615882229,0.9071391209215636,0.0,0.0,-0.7821533087301294,0.6230860306911966
1711478708258716236,1131,1711478708258477210,world,-1.2881887661080058,0.9017266744112342,0.9085327577391218,0.0,0.0,-0.781908690556565,0.6233929736788167
1711478708278830010,1132,1711478708278531551,world,-1.2847782965003613,0.8867419475468556,0.9099141081674496,0.0,0.0,-0.7816798429279601,0.6236799044061944
1711478708298982257,1133,1711478708298761844,world,-1.2812334381503698,0.8717399402442929,0.9112871971730664,0.0,0.0,-0.7814675309512495,0.6239459095698584
1711478708318852789,1134,1711478708318506002,world,-1.2775510163138364,0.8567077100023303,0.9126519024196472,0.0,0.0,-0.7812732137828363,0.6241892064313821
1711478708338763676,1135,1711478708338503837,world,-1.2737482364558474,0.8417131823000457,0.9140008051656683,0.0,0.0,-0.7810993134810521,0.6244068084826022
1711478708358668971,1136,1711478708358479261,world,-1.2698086457830113,0.8266893352767811,0.9153386775233879,0.0,0.0,-0.7809466036355253,0.624597792399347
1711478708378714732,1137,1711478708378501892,world,-1.2662155202717496,0.8189086881018088,0.9186088242172442,0.0,0.0,-0.7804131687753991,0.6252641729716651
1711478708398902639,1138,1711478708398593187,world,-1.2618852732155812,0.8040705949447262,0.9204082481793253,0.0,0.0,-0.7802625755076091,0.6254520871035867
1711478708418745879,1139,1711478708418483495,world,-1.2574370581213974,0.7892293852139975,0.9221925803253856,0.0,0.0,-0.7801264578768216,0.6256218584101453
1711478708438705459,1140,1711478708438494443,world,-1.2528717683371857,0.7743781004134838,0.9239617627431302,0.0,0.0,-0.7800025934797976,0.6257762812417786
1711478708458734963,1141,1711478708458491563,world,-1.2482070940291046,0.7595632296285096,0.9257094215028158,0.0,0.0,-0.779889160463417,0.625917644256548
1711478708478698139,1142,1711478708478497505,world,-1.2434532363209914,0.7448042239602664,0.9274325411261892,0.0,0.0,-0.7797840469245083,0.6260485924926564
1711478708498907176,1143,1711478708498656034,world,-1.2385765306897607,0.7299872214298107,0.929143516753375,0.0,0.0,-0.7796842602168172,0.6261728630100113
1711478708518700445,1144,1711478708518488883,world,-1.2336019322384009,0.7151804108480799,0.930833476536976,0.0,0.0,-0.7795880905919025,0.6262925905735048
1711478708538836680,1145,1711478708538480997,world,-1.2310848666464131,0.7077981657341248,0.9316683471776989,0.0,0.0,-0.7795407807275613,0.6263514757567545
1711478708558774046,1146,1711478708558523178,world,-1.223406778623125,0.6856965281180816,0.9341358723538495,0.0,0.0,-0.779399161111747,0.6265276910546772
1711478708578745453,1147,1711478708578470706,world,-1.2181712134727392,0.6709564881039396,0.9357536963925952,0.0,0.0,-0.7793044847649784,0.6266454500155503
1711478708598818745,1148,1711478708598474740,world,-1.2155384497875497,0.6636373979954748,0.9365483974056829,0.0,0.0,-0.7792574372343283,0.6267039544433934
1711478708618765868,1149,1711478708618480920,world,-1.2074807875017253,0.6415935974104943,0.9389059064923746,0.0,0.0,-0.779115721507659,0.6268801261003575
1711478708638836648,1150,1711478708638554096,world,-1.202006465138251,0.6268999114901243,0.9404461118742579,0.0,0.0,-0.7790213529970439,0.6269973935947861
1711478708658722810,1151,1711478708658501863,world,-1.1964821382423467,0.6122831018934344,0.9419518227012829,0.0,0.0,-0.7789276533930121,0.6271137941232481
1711478708678693302,1152,1711478708678496837,world,-1.1908622202605266,0.5976142094201146,0.9434341729870803,0.0,0.0,-0.7788338802440705,0.6272302503737881
1711478708698848840,1153,1711478708698626518,world,-1.1852098739393364,0.583049438371058,0.9448752489092412,0.0,0.0,-0.7787411153145333,0.6273454194609831
1711478708718768227,1154,1711478708718549966,world,-1.179498619631814,0.568510623371302,0.9462808918457175,0.0,0.0,-0.7786489412664257,0.6274598204384679
1711478708738669519,1155,1711478708738475799,world,-1.173706971416339,0.5539358928440494,0.9476547004427374,0.0,0.0,-0.7785570723591109,0.6275738084716491
1711478708758772817,1156,1711478708758474826,world,-1.1678886067886645,0.5394521730530083,0.9489825372519087,0.0,0.0,-0.778466927001786,0.6276856247871191
1711478708778734509,1157,1711478708778485774,world,-1.162011028156333,0.5249699520122177,0.9502705531895841,0.0,0.0,-0.7783791213133102,0.6277945073855927
1711478708798694738,1158,1711478708798469543,world,-1.1590698899634124,0.5177756626411505,0.9508948848194118,0.0,0.0,-0.7783367479793604,0.6278470408825017
1711478708818665450,1159,1711478708818477392,world,-1.1501599987108353,0.49617911036296325,0.9527035072190773,0.0,0.0,-0.7782163548704805,0.6279962619411857
1711478708838722053,1160,1711478708838495492,world,-1.1441767017622877,0.4818303407012461,0.9538476305372059,0.0,0.0,-0.7781435627831548,0.6280864555928097
1711478708858738103,1161,1711478708858497381,world,-1.1381619396931306,0.46751940169217426,0.954940002154776,0.0,0.0,-0.7780781502755537,0.6281674872705311
1711478708878664399,1162,1711478708878481864,world,-1.1321235893176813,0.4532572810706048,0.9559776115932395,0.0,0.0,-0.7780213740173667,0.6282378065447263
1711478708899020989,1163,1711478708898631572,world,-1.126061509134257,0.43903596695046226,0.956958858461324,0.0,0.0,-0.7779744108931709,0.6282959621033894
1711478708918766080,1164,1711478708918486595,world,-1.1199832988743965,0.4248656918931848,0.9578808387954996,0.0,0.0,-0.7779385058081874,0.628340418229581
1711478708939808500,1165,1711478708938599348,world,-1.1168819359084519,0.41766704837501634,0.9583270119906456,0.0,0.0,-0.777924854455623,0.6283573193814151
1711478708959872065,1166,1711478708958724498,world,-1.1108227900220617,0.4036607653450006,0.9591507880311535,0.0,0.0,-0.7779080429103651,0.6283781319996469
1711478708978896208,1167,1711478708978611707,world,-1.1016782512022762,0.3826595945968824,0.9602728136351438,0.0,0.0,-0.7779098913527699,0.6283758436919116
1711478708998874724,1168,1711478708998569965,world,-1.0955676415111506,0.3687127348617979,0.9609402072409987,0.0,0.0,-0.7779313751804349,0.6283492464464946
